timestamp,open,high,low,close,Volume
1739232000000,9.458,10.045,9.244,9.381,4512785.82
1739318400000,9.38,10.134,9.078,9.951,4120586.55
1739404800000,9.955,10.082,9.464,9.889,2293424.03
1739491200000,9.891,10.355,9.804,10.056,2559408.74
1739577600000,10.057,10.148,9.716,9.811,1600075.2
1739664000000,9.811,9.943,9.566,9.585,1558440.94
1739750400000,9.584,10.247,9.444,9.947,2683600.53
1739836800000,9.944,9.953,9.143,9.632,2986326.31
1739923200000,9.631,9.73,9.378,9.434,2642284.77
1740009600000,9.434,9.567,8.966,9.341,5163718.0
1740096000000,9.341,9.643,8.586,8.743,5842457.68
1740182400000,8.742,9.131,8.676,9.039,2281871.31
1740268800000,9.04,9.22,8.914,9.019,1180918.24
1740355200000,9.02,9.128,7.784,7.975,3972979.91
1740441600000,7.978,8.632,7.408,8.312,8860796.58
1740528000000,8.311,8.514,7.645,7.908,7401864.73
1740614400000,7.909,8.3,7.719,7.868,4102421.79
1740700800000,7.87,7.894,7.046,7.497,7615732.71
1740787200000,7.497,7.663,7.202,7.5,2412597.44
1740873600000,7.5,8.418,7.309,8.268,5419705.72
1740960000000,8.269,8.298,7.057,7.126,5299808.23
1741046400000,7.126,7.177,6.47,7.07,8735843.29
1741132800000,7.07,7.56,7.013,7.52,4919294.22
1741219200000,7.52,7.697,7.049,7.103,4645817.58
1741305600000,7.104,7.363,6.821,7.07,3732961.48
1741392000000,7.07,7.227,6.891,7.165,1641720.04
1741478400000,7.164,7.215,6.314,6.397,2573013.23
1741564800000,6.398,6.957,5.784,5.906,4698466.45
1741651200000,5.907,6.244,5.506,6.096,7031956.39
1741737600000,6.098,6.209,5.743,5.912,3460674.69
1741824000000,5.912,6.074,5.693,5.89,3146329.42
1741910400000,5.891,6.141,5.835,6.026,3438988.74
1741996800000,6.028,6.326,5.995,6.271,2149013.57
1742083200000,6.272,6.294,5.973,6.139,3001404.36
1742169600000,6.138,6.39,6.081,6.297,2312237.16
1742256000000,6.297,6.378,6.096,6.374,1895433.3
1742342400000,6.374,7.38,6.32,6.984,7650521.73
1742428800000,6.985,7.056,6.643,6.912,3047757.45
1742515200000,6.913,6.93,6.716,6.781,1353709.79
1742601600000,6.783,6.929,6.725,6.737,1179181.78
1742688000000,6.736,6.829,6.615,6.688,1431646.31
1742774400000,6.691,7.162,6.578,7.088,2440647.61
1742860800000,7.088,7.133,6.926,6.967,1604535.24
1742947200000,6.968,7.129,6.646,6.721,2428539.04
1743033600000,6.724,6.909,6.651,6.725,2640107.44
1743120000000,6.727,6.838,6.049,6.174,3605760.02
1743206400000,6.174,6.255,5.863,5.96,2808038.2
1743292800000,5.96,6.063,5.804,5.871,1421718.27
1743379200000,5.872,6.054,5.74,5.971,2843168.26
1743465600000,5.971,6.351,5.96,6.265,1528501.96
1743552000000,6.264,6.47,5.786,5.836,3449802.0
1743638400000,5.835,6.069,5.65,5.869,2333236.35
1743724800000,5.87,6.032,5.655,5.909,2309824.04
1743811200000,5.909,5.941,5.762,5.866,730789.98
1743897600000,5.867,5.902,4.972,5.101,4135541.8
1743984000000,5.102,5.35,4.602,5.121,7715665.48
1744070400000,5.122,5.307,4.682,4.776,3297912.13
1744156800000,4.777,5.495,4.555,5.414,5890764.9
1744243200000,5.413,5.418,4.847,5.023,2889472.38
1744329600000,5.022,5.325,4.993,5.235,2746901.62
1744416000000,5.235,5.583,5.15,5.502,2448062.5
1744502400000,5.502,5.547,5.261,5.332,2889983.94
1744588800000,5.332,5.648,5.323,5.347,2476547.47
1744675200000,5.348,5.456,5.171,5.185,1933511.4
1744761600000,5.184,5.262,5.022,5.151,2094879.81
1744848000000,5.15,5.3,5.093,5.181,1435511.67
1744934400000,5.182,5.241,5.128,5.174,1045476.26
1745020800000,5.175,5.36,5.172,5.317,1129911.97
1745107200000,5.317,5.356,5.15,5.252,1143974.95
1745193600000,5.252,5.51,5.215,5.274,2172788.77
1745280000000,5.274,5.83,5.182,5.81,4272387.53
1745366400000,5.811,6.099,5.788,6.033,4311519.14
1745452800000,6.032,6.055,5.642,5.811,3520030.18
1745539200000,5.812,5.986,5.691,5.828,5036805.21
1745625600000,5.828,6.032,5.743,5.813,3813973.44
1745712000000,5.814,6.0,5.493,5.5,4464214.34
1745798400000,5.501,5.648,5.317,5.436,4822538.56
1745884800000,5.437,5.547,5.203,5.271,4048298.73
1745971200000,5.27,5.398,5.059,5.269,3234321.39
1746057600000,5.269,5.434,5.235,5.317,3523335.18
1746144000000,5.316,5.381,5.18,5.248,3066717.99
1746230400000,5.248,5.265,5.026,5.089,3041930.77
1746316800000,5.088,5.137,4.965,4.985,1806837.22
1746403200000,4.985,5.115,4.89,4.975,2616867.14
1746489600000,4.976,4.989,4.739,4.966,2702938.32
1746576000000,4.967,5.053,4.742,4.875,3085921.64
1746662400000,4.875,6.158,4.837,6.151,10265779.87
1746748800000,6.15,6.702,6.0,6.353,11286466.4
1746835200000,6.355,7.733,6.352,7.555,11172888.26
1746921600000,7.555,7.559,6.716,6.929,8318818.7
1747008000000,6.93,7.4,6.606,6.888,8262105.78
1747094400000,6.888,7.37,6.525,7.092,7209556.81
